kind,value,entity,reason,added_by,added_at,source_url
domain,mailinator.com,Mailinator,D-06 disposable mailbox provider,SEED SUBSET - not the vendored upstream list,2026-08-06,https://github.com/disposable-email-domains/disposable-email-domains
domain,guerrillamail.com,Guerrilla Mail,D-06 disposable mailbox provider,SEED SUBSET - not the vendored upstream list,2026-08-06,https://github.com/disposable-email-domains/disposable-email-domains
domain,10minutemail.com,10 Minute Mail,D-06 disposable mailbox provider,SEED SUBSET - not the vendored upstream list,2026-08-06,https://github.com/disposable-email-domains/disposable-email-domains
domain,yopmail.com,YOPmail,D-06 disposable mailbox provider,SEED SUBSET - not the vendored upstream list,2026-08-06,https://github.com/disposable-email-domains/disposable-email-domains
domain,tempmail.com,Temp Mail,D-06 disposable mailbox provider,SEED SUBSET - not the vendored upstream list,2026-08-06,https://github.com/disposable-email-domains/disposable-email-domains
domain,temp-mail.org,Temp Mail,D-06 disposable mailbox provider,SEED SUBSET - not the vendored upstream list,2026-08-06,https://github.com/disposable-email-domains/disposable-email-domains
domain,throwawaymail.com,Throwaway Mail,D-06 disposable mailbox provider,SEED SUBSET - not the vendored upstream list,2026-08-06,https://github.com/disposable-email-domains/disposable-email-domains
domain,trashmail.com,TrashMail,D-06 disposable mailbox provider,SEED SUBSET - not the vendored upstream list,2026-08-06,https://github.com/disposable-email-domains/disposable-email-domains
domain,sharklasers.com,Guerrilla Mail (alias),D-06 disposable mailbox provider,SEED SUBSET - not the vendored upstream list,2026-08-06,https://github.com/disposable-email-domains/disposable-email-domains
domain,maildrop.cc,Maildrop,D-06 disposable mailbox provider,SEED SUBSET - not the vendored upstream list,2026-08-06,https://github.com/disposable-email-domains/disposable-email-domains
domain,dispostable.com,Dispostable,D-06 disposable mailbox provider,SEED SUBSET - not the vendored upstream list,2026-08-06,https://github.com/disposable-email-domains/disposable-email-domains
domain,getnada.com,Nada,D-06 disposable mailbox provider,SEED SUBSET - not the vendored upstream list,2026-08-06,https://github.com/disposable-email-domains/disposable-email-domains
