kind,value,entity,reason,added_by,added_at,source_url
domain,gmail.com,Google,D-07 exemption. A Vancouver bakery legitimately uses a free provider. The D-07 kill is for an address on someone else's CORPORATE domain,enactus-disqualifiers/report.md 3.5,2026-08-06,
domain,googlemail.com,Google,D-07 exemption,enactus-disqualifiers/report.md 3.5,2026-08-06,
domain,yahoo.com,Yahoo,D-07 exemption,enactus-disqualifiers/report.md 3.5,2026-08-06,
domain,yahoo.ca,Yahoo Canada,D-07 exemption,enactus-disqualifiers/report.md 3.5,2026-08-06,
domain,hotmail.com,Microsoft,D-07 exemption,enactus-disqualifiers/report.md 3.5,2026-08-06,
domain,hotmail.ca,Microsoft,D-07 exemption,enactus-disqualifiers/report.md 3.5,2026-08-06,
domain,outlook.com,Microsoft,D-07 exemption,enactus-disqualifiers/report.md 3.5,2026-08-06,
domain,live.com,Microsoft,D-07 exemption,enactus-disqualifiers/report.md 3.5,2026-08-06,
domain,live.ca,Microsoft,D-07 exemption,enactus-disqualifiers/report.md 3.5,2026-08-06,
domain,icloud.com,Apple,D-07 exemption,enactus-disqualifiers/report.md 3.5,2026-08-06,
domain,me.com,Apple,D-07 exemption,enactus-disqualifiers/report.md 3.5,2026-08-06,
domain,proton.me,Proton,D-07 exemption,enactus-disqualifiers/report.md 3.5,2026-08-06,
domain,protonmail.com,Proton,D-07 exemption,enactus-disqualifiers/report.md 3.5,2026-08-06,
domain,aol.com,AOL,D-07 exemption,enactus-disqualifiers/report.md 3.5,2026-08-06,
domain,shaw.ca,Shaw,D-07 exemption. Common for BC small businesses,enactus-disqualifiers/report.md 3.5,2026-08-06,
domain,telus.net,Telus,D-07 exemption. Common for BC small businesses,enactus-disqualifiers/report.md 3.5,2026-08-06,
domain,gmx.com,GMX,D-07 exemption,enactus-disqualifiers/report.md 3.5,2026-08-06,
