kind,value,entity,reason,added_by,added_at,source_url
domain,metrovancouver.org,Metro Vancouver Regional District,Regional government. Rule-based coverage of *.gc.ca and *.gov.bc.ca lives in code; this list carries the domains those suffixes miss,enactus-disqualifiers/report.md 7.6,2026-08-06,https://metrovancouver.org/about-us/member-jurisdictions
domain,translink.ca,TransLink,Regional transportation authority (Crown),enactus-disqualifiers/report.md 7.6,2026-08-06,https://www.translink.ca/
domain,vancouver.ca,City of Vancouver,Metro Vancouver member jurisdiction. DNS-verified 2026-08-06; title check blocked by a Cloudflare challenge,fm/enactus-qualification dig+curl,2026-08-06,https://metrovancouver.org/about-us/member-jurisdictions
domain,burnaby.ca,City of Burnaby,Metro Vancouver member jurisdiction. Verified 2026-08-06 - title 'Home Page | City of Burnaby',fm/enactus-qualification dig+curl,2026-08-06,https://metrovancouver.org/about-us/member-jurisdictions
domain,surrey.ca,City of Surrey,Metro Vancouver member jurisdiction. Verified 2026-08-06 - title 'Home page | City of Surrey',fm/enactus-qualification dig+curl,2026-08-06,https://metrovancouver.org/about-us/member-jurisdictions
domain,richmond.ca,City of Richmond,Metro Vancouver member jurisdiction. Verified 2026-08-06 - title 'City of Richmond British Columbia Canada',fm/enactus-qualification dig+curl,2026-08-06,https://metrovancouver.org/about-us/member-jurisdictions
domain,coquitlam.ca,City of Coquitlam,Metro Vancouver member jurisdiction. Verified 2026-08-06 - title 'Coquitlam BC | Official Website',fm/enactus-qualification dig+curl,2026-08-06,https://metrovancouver.org/about-us/member-jurisdictions
domain,newwestcity.ca,City of New Westminster,Metro Vancouver member jurisdiction. Verified 2026-08-06 - title 'Welcome to New Westminster',fm/enactus-qualification dig+curl,2026-08-06,https://metrovancouver.org/about-us/member-jurisdictions
domain,delta.ca,City of Delta,Metro Vancouver member jurisdiction. Verified 2026-08-06 - title 'Home | City of Delta',fm/enactus-qualification dig+curl,2026-08-06,https://metrovancouver.org/about-us/member-jurisdictions
domain,cnv.org,City of North Vancouver,Metro Vancouver member jurisdiction - DISTINCT from the District of North Vancouver. Verified 2026-08-06,fm/enactus-qualification dig+curl,2026-08-06,https://metrovancouver.org/about-us/member-jurisdictions
domain,dnv.org,District of North Vancouver,Metro Vancouver member jurisdiction - DISTINCT from the City of North Vancouver. Verified 2026-08-06,fm/enactus-qualification dig+curl,2026-08-06,https://metrovancouver.org/about-us/member-jurisdictions
domain,westvancouver.ca,District of West Vancouver,Metro Vancouver member jurisdiction. DNS-verified 2026-08-06; title check blocked by a Cloudflare challenge,fm/enactus-qualification dig+curl,2026-08-06,https://metrovancouver.org/about-us/member-jurisdictions
domain,portmoody.ca,City of Port Moody,Metro Vancouver member jurisdiction. Verified 2026-08-06 - title 'Home | City of Port Moody',fm/enactus-qualification dig+curl,2026-08-06,https://metrovancouver.org/about-us/member-jurisdictions
domain,portcoquitlam.ca,City of Port Coquitlam,Metro Vancouver member jurisdiction. Verified 2026-08-06 - title 'City of Port Coquitlam',fm/enactus-qualification dig+curl,2026-08-06,https://metrovancouver.org/about-us/member-jurisdictions
domain,mapleridge.ca,City of Maple Ridge,Metro Vancouver member jurisdiction. Verified 2026-08-06 - title 'Maple Ridge BC',fm/enactus-qualification dig+curl,2026-08-06,https://metrovancouver.org/about-us/member-jurisdictions
domain,pittmeadows.ca,City of Pitt Meadows,Metro Vancouver member jurisdiction. Verified 2026-08-06 - title 'Home | City of Pitt Meadows',fm/enactus-qualification dig+curl,2026-08-06,https://metrovancouver.org/about-us/member-jurisdictions
domain,whiterockcity.ca,City of White Rock,Metro Vancouver member jurisdiction. Verified 2026-08-06 - title 'White Rock BC | Official Website',fm/enactus-qualification dig+curl,2026-08-06,https://metrovancouver.org/about-us/member-jurisdictions
domain,tol.ca,Township of Langley,Metro Vancouver member jurisdiction - DISTINCT from the City of Langley. Verified 2026-08-06,fm/enactus-qualification dig+curl,2026-08-06,https://metrovancouver.org/about-us/member-jurisdictions
domain,langleycity.ca,City of Langley,Metro Vancouver member jurisdiction - DISTINCT from the Township of Langley. Verified 2026-08-06,fm/enactus-qualification dig+curl,2026-08-06,https://metrovancouver.org/about-us/member-jurisdictions
