canonical,aliases,reason,added_by,added_at,source_url
Village of Anmore,anmore,ALIAS SET NOT ENUMERATED IN THE REPORT - plain name only. Extend with neighbourhood names as they appear in real data,enactus-disqualifiers/report.md 7.8,2026-08-06,https://metrovancouver.org/about-us/member-jurisdictions
Village of Belcarra,belcarra,ALIAS SET NOT ENUMERATED IN THE REPORT - plain name only. Extend with neighbourhood names as they appear in real data,enactus-disqualifiers/report.md 7.8,2026-08-06,https://metrovancouver.org/about-us/member-jurisdictions
Bowen Island Municipality,bowen island|bowen island municipality,ALIAS SET NOT ENUMERATED IN THE REPORT - plain name only. Extend with neighbourhood names as they appear in real data,enactus-disqualifiers/report.md 7.8,2026-08-06,https://metrovancouver.org/about-us/member-jurisdictions
City of Burnaby,burnaby,ALIAS SET NOT ENUMERATED IN THE REPORT - plain name only. One of the three core jurisdictions (SFU Burnaby campus) so this is the alias set most worth extending first,enactus-disqualifiers/report.md 7.8,2026-08-06,https://metrovancouver.org/about-us/member-jurisdictions
City of Coquitlam,coquitlam,ALIAS SET NOT ENUMERATED IN THE REPORT - plain name only. Extend with neighbourhood names as they appear in real data,enactus-disqualifiers/report.md 7.8,2026-08-06,https://metrovancouver.org/about-us/member-jurisdictions
City of Delta,delta|north delta|ladner|tsawwassen,ENUMERATED VERBATIM IN THE REPORT. Note the tsawwassen alias also names a separate member jurisdiction - both are in scope so the ambiguity is harmless here,enactus-disqualifiers/report.md 7.8,2026-08-06,https://metrovancouver.org/about-us/member-jurisdictions
Electoral Area A,ubc|university endowment lands|ubc endowment lands|electoral area a,ENUMERATED VERBATIM IN THE REPORT. Administered by Metro Vancouver - no municipal domain of its own,enactus-disqualifiers/report.md 7.8,2026-08-06,https://metrovancouver.org/about-us/member-jurisdictions
City of Langley,city of langley,ALIAS SET NOT ENUMERATED IN THE REPORT - plain name only. DISTINCT from the Township of Langley; a future rule that treats them as one will be wrong,enactus-disqualifiers/report.md 7.8,2026-08-06,https://metrovancouver.org/about-us/member-jurisdictions
Township of Langley,langley|aldergrove|walnut grove|willoughby|fort langley|murrayville|brookswood,ENUMERATED VERBATIM IN THE REPORT. DISTINCT from the City of Langley,enactus-disqualifiers/report.md 7.8,2026-08-06,https://metrovancouver.org/about-us/member-jurisdictions
Village of Lions Bay,lions bay,ALIAS SET NOT ENUMERATED IN THE REPORT - plain name only. Extend with neighbourhood names as they appear in real data,enactus-disqualifiers/report.md 7.8,2026-08-06,https://metrovancouver.org/about-us/member-jurisdictions
City of Maple Ridge,maple ridge,ALIAS SET NOT ENUMERATED IN THE REPORT - plain name only. Extend with neighbourhood names as they appear in real data,enactus-disqualifiers/report.md 7.8,2026-08-06,https://metrovancouver.org/about-us/member-jurisdictions
City of New Westminster,new westminster,ALIAS SET NOT ENUMERATED IN THE REPORT - plain name only. Extend with neighbourhood names as they appear in real data,enactus-disqualifiers/report.md 7.8,2026-08-06,https://metrovancouver.org/about-us/member-jurisdictions
City of North Vancouver,north vancouver|lower lonsdale|lonsdale,ENUMERATED VERBATIM IN THE REPORT. Shares the 'north vancouver' alias with the District - both are in scope so the ambiguity is harmless here,enactus-disqualifiers/report.md 7.8,2026-08-06,https://metrovancouver.org/about-us/member-jurisdictions
District of North Vancouver,north vancouver|lynn valley|deep cove|edgemont,ENUMERATED VERBATIM IN THE REPORT. Shares the 'north vancouver' alias with the City - both are in scope so the ambiguity is harmless here,enactus-disqualifiers/report.md 7.8,2026-08-06,https://metrovancouver.org/about-us/member-jurisdictions
City of Pitt Meadows,pitt meadows,ALIAS SET NOT ENUMERATED IN THE REPORT - plain name only. Extend with neighbourhood names as they appear in real data,enactus-disqualifiers/report.md 7.8,2026-08-06,https://metrovancouver.org/about-us/member-jurisdictions
City of Port Coquitlam,port coquitlam,ALIAS SET NOT ENUMERATED IN THE REPORT - plain name only. Extend with neighbourhood names as they appear in real data,enactus-disqualifiers/report.md 7.8,2026-08-06,https://metrovancouver.org/about-us/member-jurisdictions
City of Port Moody,port moody,ALIAS SET NOT ENUMERATED IN THE REPORT - plain name only. Extend with neighbourhood names as they appear in real data,enactus-disqualifiers/report.md 7.8,2026-08-06,https://metrovancouver.org/about-us/member-jurisdictions
City of Richmond,richmond|steveston,ENUMERATED VERBATIM IN THE REPORT,enactus-disqualifiers/report.md 7.8,2026-08-06,https://metrovancouver.org/about-us/member-jurisdictions
City of Surrey,surrey|whalley|newton|cloverdale|guildford|fleetwood|south surrey|city centre,ENUMERATED VERBATIM IN THE REPORT - including the generic 'city centre' alias. One of the three core jurisdictions (SFU Surrey campus),enactus-disqualifiers/report.md 7.8,2026-08-06,https://metrovancouver.org/about-us/member-jurisdictions
Tsawwassen First Nation,tsawwassen first nation|scewathen mesteyexw,Official name is scəẃaθən məsteyəxʷ (Tsawwassen First Nation). The ASCII alias is the accent-stripped normalisation fallback,enactus-disqualifiers/report.md 7.8,2026-08-06,https://metrovancouver.org/about-us/member-jurisdictions
