kind,value,entity,reason,added_by,added_at,source_url
domain,td.com,TD Bank Group,Tier A - TD Entrepreneurship Challenge sponsor 2025-26,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/host-competitions/impact-challenges/
domain,td.ca,TD Bank Group,Tier A - TD Entrepreneurship Challenge sponsor 2025-26,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/host-competitions/impact-challenges/
domain,desjardins.com,Desjardins Financial Group,Tier A - Desjardins Community Empowerment Challenge sponsor 2025-26,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/host-competitions/impact-challenges/
domain,desjardins.ca,Desjardins Financial Group,Tier A - Desjardins Community Empowerment Challenge sponsor 2025-26,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/host-competitions/impact-challenges/
domain,canadiantire.ca,Canadian Tire Corporation,Tier A - Canadian Tire Environmental Sustainability Challenge sponsor 2025-26,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/host-competitions/impact-challenges/
domain,canadiantire.com,Canadian Tire Corporation,Tier A - Canadian Tire Environmental Sustainability Challenge sponsor 2025-26,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/host-competitions/impact-challenges/
domain,enactus.ca,Enactus Canada,Tier A - national body and Innovation and Impact Challenge host. Also the institutional parent,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/our-supporters/
domain,nbc.ca,National Bank of Canada,Tier A - National Bank Indigenous Inclusion Project Accelerator 2026 (replaced CWB),enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/programs/project-accelerators/
domain,bnc.ca,National Bank of Canada,Tier A - National Bank Indigenous Inclusion Project Accelerator 2026 (replaced CWB),enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/programs/project-accelerators/
domain,rbc.com,RBC Foundation,Tier A - RBC Skills for a Thriving Future Accelerator. SFU's Unify won Best Project 2026. NOT rbcfoundation.com - that is Richard Bland College Foundation,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/programs/project-accelerators/
domain,jeannesauve.org,Jeanne Sauve Foundation,Tier A - Global and Workplace Inclusion Accelerators. SFU's SKYES won Global Best Project 2026. sauve.org is behind a WAF and is not the official site,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/programs/project-accelerators/
domain,alterna.ca,Alterna Savings,Tier A - Alterna Savings SDG Project Accelerator,enactus-disqualifiers/report.md 7.1,2026-08-06,https://enactus.ca/programs/project-accelerators/
