kind,value,entity,reason,added_by,added_at,source_url
domain,enactussfu.ca,Enactus SFU,The club itself,enactus-disqualifiers/report.md 7.7,2026-08-06,https://www.enactussfu.ca/
domain,enactussfu.com,Enactus SFU,The club itself - the address on the SFSS club record,enactus-disqualifiers/report.md 7.7,2026-08-06,https://go.sfss.ca/clubs/98/info
domain,secondsavour.ca,Second Savour,An Enactus SFU venture. It sits in the club's own seed data as a LEAD - the pipeline was prospecting its own project,enactus-disqualifiers/report.md 7.7,2026-08-06,https://www.enactussfu.ca/
domain,skyes-website.vercel.app,SKYES,An Enactus SFU venture,enactus-disqualifiers/report.md 7.7,2026-08-06,https://www.enactussfu.ca/
domain,sfu.ca,Simon Fraser University,Host institution and the club's institutional home. SFU Beedie is the host faculty not a cold prospect,enactus-disqualifiers/report.md 7.7,2026-08-06,https://www.sfu.ca/
domain,sfss.ca,Simon Fraser Student Society,The club's parent student society,enactus-disqualifiers/report.md 7.7,2026-08-06,https://sfss.ca/
name,enactus sfu,Enactus SFU,The club itself,enactus-disqualifiers/report.md 7.7,2026-08-06,https://go.sfss.ca/clubs/98/info
name,second savour,Second Savour,Enactus SFU venture - citrus-peel upcycling,enactus-disqualifiers/report.md 7.7,2026-08-06,https://www.enactussfu.ca/
name,skyes,SKYES,Enactus SFU venture - youth entrepreneurship in South and Southeast Asia,enactus-disqualifiers/report.md 7.7,2026-08-06,https://www.enactussfu.ca/
name,unify,Unify,Enactus SFU venture - newcomer settlement platform,enactus-disqualifiers/report.md 7.7,2026-08-06,https://www.enactussfu.ca/
name,alara,Alara,Enactus SFU venture - algae bioplastic,enactus-disqualifiers/report.md 7.7,2026-08-06,https://www.enactussfu.ca/
name,nourish,Nourish,Enactus SFU venture - upcycled-fruit protein gummies,enactus-disqualifiers/report.md 7.7,2026-08-06,https://www.enactussfu.ca/
name,nextspark,NextSpark,Enactus SFU venture - STEM education kits,enactus-disqualifiers/report.md 7.7,2026-08-06,https://www.enactussfu.ca/
name,renovo,Renovo,Enactus SFU venture - veterans and Indigenous employability,enactus-disqualifiers/report.md 7.7,2026-08-06,https://www.enactussfu.ca/
name,sensms,SensMS,Enactus SFU venture - MS symptom tracking,enactus-disqualifiers/report.md 7.7,2026-08-06,https://www.enactussfu.ca/
name,sfu beedie school of business,SFU Beedie School of Business,Host faculty,enactus-disqualifiers/report.md 7.7,2026-08-06,https://www.sfu.ca/beedie/
name,charles chang institute,Charles Chang Institute for Entrepreneurship,SFU internal unit,enactus-icp/report.md 4,2026-08-06,https://www.sfu.ca/beedie/
