kind,value,entity,reason,added_by,added_at,source_url
domain,beediebass.com,Business Administration Student Society (BASS),SFU Beedie undergraduate student organisation,enactus-disqualifiers/report.md 7.3,2026-08-06,https://www.sfu.ca/beedie/students/undergraduate-student-organizations.html
domain,ascendsfu.com,Ascend SFU,SFU Beedie undergraduate student organisation,enactus-disqualifiers/report.md 7.3,2026-08-06,https://www.sfu.ca/beedie/students/undergraduate-student-organizations.html
domain,sfuaxisconsulting.com,Axis Consulting,SFU Beedie undergraduate student organisation. Historical Enactus SFU lineage - exactly the near-miss a name-matcher would let through,enactus-disqualifiers/report.md 7.3,2026-08-06,https://www.sfu.ca/beedie/students/undergraduate-student-organizations.html
domain,enactussfu.ca,Enactus SFU,The club itself. Also on self.csv,enactus-disqualifiers/report.md 7.3,2026-08-06,https://go.sfss.ca/clubs/98/info
domain,sfuhrsa.com,Human Resources Student Association (HRSA),SFU Beedie undergraduate student organisation,enactus-disqualifiers/report.md 7.3,2026-08-06,https://www.sfu.ca/beedie/students/undergraduate-student-organizations.html
domain,sfusma.com,Sales and Marketing Association (SMA),SFU Beedie undergraduate student organisation,enactus-disqualifiers/report.md 7.3,2026-08-06,https://www.sfu.ca/beedie/students/undergraduate-student-organizations.html
domain,ywib.ca,Young Women in Business SFU,SFU Beedie undergraduate student organisation,enactus-disqualifiers/report.md 7.3,2026-08-06,https://www.sfu.ca/beedie/students/undergraduate-student-organizations.html
domain,sfusurge.com,SFU Surge,SFU student organisation. Co-hosts StormHacks with the club,enactus-disqualifiers/report.md 7.3,2026-08-06,https://www.sfu.ca/beedie/students/undergraduate-student-organizations.html
domain,sfic.ca,SFU Investment Club,SFU Beedie undergraduate student organisation,enactus-disqualifiers/report.md 7.3,2026-08-06,https://www.sfu.ca/beedie/students/undergraduate-student-organizations.html
domain,sfurealestate.ca,SFU Real Estate Club,SFU Beedie undergraduate student organisation,enactus-disqualifiers/report.md 7.3,2026-08-06,https://www.sfu.ca/beedie/students/undergraduate-student-organizations.html
domain,sfss.ca,Simon Fraser Student Society,The student society itself - draws on the same grant pool the club draws on,enactus-disqualifiers/report.md 7.3,2026-08-06,https://go.sfss.ca/clubs/list
name,ace sfu,ACE SFU,Historical Enactus SFU lineage (Advancing Canadian Entrepreneurship). No published domain,enactus-disqualifiers/report.md 7.3,2026-08-06,https://www.sfu.ca/beedie/students/undergraduate-student-organizations.html
name,aiesec in sfu,AIESEC in SFU,SFU student organisation. No published domain,enactus-disqualifiers/report.md 7.3,2026-08-06,https://www.sfu.ca/beedie/students/undergraduate-student-organizations.html
name,accounting student association,Accounting Student Association (ASA),SFU Beedie undergraduate student organisation. No published domain,enactus-disqualifiers/report.md 7.3,2026-08-06,https://www.sfu.ca/beedie/students/undergraduate-student-organizations.html
name,caseit,CaseIT,SFU Beedie undergraduate student organisation. No published domain,enactus-disqualifiers/report.md 7.3,2026-08-06,https://www.sfu.ca/beedie/students/undergraduate-student-organizations.html
name,finance student association,Finance Student Association (FINSA),SFU Beedie undergraduate student organisation. No published domain,enactus-disqualifiers/report.md 7.3,2026-08-06,https://www.sfu.ca/beedie/students/undergraduate-student-organizations.html
name,jdc west,JDC West,Inter-university business competition. No published domain,enactus-disqualifiers/report.md 7.3,2026-08-06,https://www.sfu.ca/beedie/students/undergraduate-student-organizations.html
name,misa,Management Information Systems Association (MISA),SFU Beedie undergraduate student organisation. No published domain,enactus-disqualifiers/report.md 7.3,2026-08-06,https://www.sfu.ca/beedie/students/undergraduate-student-organizations.html
name,simon fraser student society,Simon Fraser Student Society,Name fallback for the student society,enactus-disqualifiers/report.md 7.3,2026-08-06,https://go.sfss.ca/clubs/list
